district_en,block_en,village_en,village_hi,lgd_code,cards_distributed,properties_total,size_bucket,plots_checked,plots_with_loan,encumbrance_notes
JHABUA,Petlawad,Ghughri,घुघरी,504251,284,311,large,,,
JHABUA,Petlawad,Banya Kheda,बन्या खेड़ा,504260,53,54,medium,,,
JHABUA,Petlawad,Undwa,उंडवा,504392,4,4,small,,,
JHABUA,Jhabua,Heera Khandan,हीरा खानदान,504618,2,2,small,,,
JHABUA,Jhabua,Dungra Dhanna,डुंगरा धन्ना,504699,5,5,small,,,
ALIRAJPUR,Chandra Shekhar Azad Nagar,Barjhar,बरझार,504908,200,448,large,,,
ALIRAJPUR,Katthiwara,Andharjhiri,अंधर्झिरी,505126,5,5,small,,,
ALIRAJPUR,Alirajpur,Malwai,मालवई,505269,69,118,medium,,,
ALIRAJPUR,Sondawa,Unala,उनाला,505446,14,14,small,,,
EAST NIMAR,Harsud,Bharadi Ryt,भराडी रैयत,505495,32,59,small,,,
EAST NIMAR,Harsud,Sukhadiya,सुखाड़िया,505534,54,64,medium,,,
EAST NIMAR,Khalwa,Malgaon Mal,मालगाँव माल,505616,667,1005,large,,,
EAST NIMAR,Khandwa,Gohlari,गोहलारी,505719,213,400,large,,,
EAST NIMAR,Punasa,Atoot Khurd Benipura,अटूट खुर्द बेनीपुरा,505986,140,212,large,,,
EAST NIMAR,Mundi,Utawad,उतावाड,506050,236,437,large,,,
EAST NIMAR,Pandhana,Borgaon Buzurg,बोरगांव बुज़ुर्ग,506159,1625,2456,large,,,
BURHANPUR,Burhanpur,Jaisingpura,जयसिंहपुरा,506191,537,1256,large,,,
BURHANPUR,Burhanpur,Mordad Kalan,मोरदाद कलां,506194,97,139,medium,,,
BURHANPUR,Burhanpur,Sirsoda,सिरसोदा,506218,306,637,large,,,
BURHANPUR,Dhulcot,Rohni,रोहणी,506387,10,10,small,,,
JABALPUR,Patan,Jugia,जुगिया,916284,63,63,medium,,,
